Sample #,Shoulder W,Shoulder X,Shoulder Y,Shoulder Z,Thorax W,Thorax X,Thorax Y,Thorax Z
1815,0.835513,-0.059553,-0.49622,0.228336,-0.696335,0.077946,0.710093,0.069354
1816,0.835428,-0.059639,-0.49628,0.228494,-0.696217,0.077989,0.710198,0.069417
1817,0.835302,-0.059714,-0.496368,0.228744,-0.696114,0.078058,0.710283,0.069496
1818,0.835119,-0.059796,-0.496563,0.228966,-0.69602,0.07813,0.710361,0.069568
1819,0.834883,-0.059899,-0.496892,0.229086,-0.695924,0.078211,0.710439,0.069638
1820,0.834598,-0.060006,-0.497364,0.229074,-0.695846,0.078311,0.710498,0.069695
1821,0.834244,-0.060093,-0.498,0.228957,-0.695792,0.078406,0.710539,0.069711
1822,0.833801,-0.060124,-0.498832,0.228751,-0.695724,0.078483,0.710599,0.069698
1823,0.833257,-0.060067,-0.499893,0.228433,-0.695603,0.078601,0.710703,0.069717
1824,0.832593,-0.059934,-0.501206,0.228012,-0.695419,0.078807,0.710852,0.06979
1825,0.831804,-0.059772,-0.502742,0.227551,-0.695227,0.079052,0.711005,0.069878
1826,0.830929,-0.059568,-0.504414,0.227103,-0.695092,0.079256,0.711109,0.069929
1827,0.830001,-0.059269,-0.506156,0.226697,-0.695021,0.079397,0.711162,0.069928
1828,0.828945,-0.058917,-0.508117,0.226266,-0.69498,0.079497,0.711193,0.06991
1829,0.827559,-0.058648,-0.510667,0.225666,-0.694951,0.079572,0.711211,0.069931
1830,0.825748,-0.058464,-0.513868,0.225082,-0.694949,0.079603,0.7112,0.07003
1831,0.823733,-0.058049,-0.517293,0.224725,-0.694968,0.079569,0.711168,0.070207
1832,0.821762,-0.057097,-0.520771,0.224154,-0.694991,0.079541,0.711128,0.070413
1833,0.819828,-0.055803,-0.524358,0.223199,-0.695107,0.07966,0.710987,0.070554
1834,0.81792,-0.05467,-0.527872,0.222194,-0.695459,0.079986,0.71061,0.070517
1835,0.815992,-0.05394,-0.531316,0.22125,-0.695985,0.08027,0.710091,0.070234
1836,0.813898,-0.053466,-0.534921,0.220389,-0.696433,0.080107,0.709713,0.069788
1837,0.811701,-0.052922,-0.538704,0.219404,-0.696593,0.079522,0.70965,0.069499
1838,0.809517,-0.051966,-0.542682,0.217895,-0.696412,0.078925,0.709882,0.069629
1839,0.807156,-0.05044,-0.547131,0.215876,-0.696082,0.07858,0.710208,0.069995
1840,0.804364,-0.04895,-0.552018,0.214196,-0.695843,0.07848,0.710426,0.070274
1841,0.801233,-0.048623,-0.556627,0.214072,-0.695753,0.078496,0.710498,0.07041
1842,0.798109,-0.049479,-0.560508,0.215417,-0.695745,0.078544,0.710492,0.0705
1843,0.795171,-0.050494,-0.563984,0.216968,-0.695711,0.078632,0.710502,0.070634
1844,0.792443,-0.050924,-0.567447,0.217818,-0.695609,0.078765,0.710569,0.070825
1845,0.789825,-0.05065,-0.571182,0.217627,-0.695483,0.078907,0.710658,0.071007
1846,0.787105,-0.049954,-0.575437,0.216433,-0.695394,0.079038,0.710721,0.071105
1847,0.784167,-0.049191,-0.580076,0.214881,-0.695396,0.079225,0.7107,0.071091
1848,0.781098,-0.048578,-0.584652,0.213796,-0.695474,0.079486,0.710601,0.071027
1849,0.77809,-0.048064,-0.588887,0.213257,-0.695562,0.079739,0.710491,0.070982
1850,0.775177,-0.047505,-0.592897,0.212878,-0.695663,0.079981,0.710371,0.070922
1851,0.772267,-0.04693,-0.59689,0.212426,-0.695762,0.080192,0.710258,0.070838
1852,0.769358,-0.046533,-0.600857,0.211883,-0.695839,0.080292,0.710178,0.070767
1853,0.766481,-0.046334,-0.604746,0.211289,-0.695926,0.080309,0.710099,0.070685
1854,0.763624,-0.046145,-0.608598,0.210612,-0.696003,0.080344,0.710031,0.070574
1855,0.760786,-0.04591,-0.612444,0.209784,-0.696031,0.080433,0.710004,0.070463
1856,0.757983,-0.045634,-0.616281,0.208751,-0.696042,0.080545,0.709989,0.070385
1857,0.755201,-0.045272,-0.620105,0.207585,-0.696072,0.080644,0.709952,0.070346
1858,0.752428,-0.04493,-0.62383,0.206568,-0.696121,0.080717,0.709899,0.070321
1859,0.749624,-0.044734,-0.627472,0.205771,-0.696177,0.080766,0.709841,0.070281
1860,0.746718,-0.044588,-0.6312,0.204966,-0.696248,0.080793,0.709774,0.070235
1861,0.743853,-0.044238,-0.634924,0.203954,-0.696348,0.080825,0.709674,0.070205
1862,0.741205,-0.043616,-0.638479,0.202623,-0.696463,0.080901,0.709553,0.070202
1863,0.738397,-0.043074,-0.642228,0.20114,-0.696545,0.081015,0.709458,0.070226
1864,0.734984,-0.042738,-0.646577,0.199776,-0.696582,0.08111,0.709406,0.070266
1865,0.731322,-0.042065,-0.6512,0.198336,-0.696615,0.08116,0.709366,0.070287
1866,0.727804,-0.040973,-0.655715,0.196622,-0.696675,0.081195,0.709305,0.070269
1867,0.724174,-0.040185,-0.660266,0.194953,-0.696748,0.081244,0.709232,0.070231
1868,0.720288,-0.039885,-0.66493,0.193555,-0.696807,0.08132,0.709168,0.070198
1869,0.716413,-0.039499,-0.669517,0.192196,-0.696858,0.081419,0.709108,0.070183
1870,0.712779,-0.038661,-0.673913,0.190506,-0.69692,0.081509,0.709036,0.070186
1871,0.709311,-0.037502,-0.678214,0.188409,-0.69698,0.081576,0.708967,0.070214
1872,0.705727,-0.036254,-0.682626,0.186163,-0.697009,0.081646,0.708926,0.070264
1873,0.701887,-0.035058,-0.68722,0.183997,-0.697008,0.081749,0.70891,0.070316
